benchmark,duration_ns,uptime_ns,vm_start_unix_ms
akka-uct,44791553023,2768493369,1749220767813
akka-uct,52492707536,48299151467,1749220767813
akka-uct,49214463204,101760762839,1749220767813
akka-uct,36652350779,151916168193,1749220767813
akka-uct,60838806844,189504594524,1749220767813
akka-uct,36189595359,251017059604,1749220767813
akka-uct,64090935273,288223473642,1749220767813
akka-uct,44565925307,353209595569,1749220767813
akka-uct,61895755219,398686200124,1749220767813
akka-uct,63373262855,461516858573,1749220767813
akka-uct,57837977320,525844007856,1749220767813
akka-uct,53693991635,584134930338,1749220767813
akka-uct,62391594804,638790523505,1749220767813
akka-uct,61412600669,702252221775,1749220767813
akka-uct,62127383971,764680743064,1749220767813
akka-uct,44083107963,827806440527,1749220767813
akka-uct,62313396201,872812350835,1749220767813
akka-uct,45382007463,936060998958,1749220767813
akka-uct,61355847183,982418077518,1749220767813
akka-uct,48445117031,1044886507232,1749220767813
akka-uct,56847775165,1094347253822,1749220767813
akka-uct,54397954820,1152164941527,1749220767813
akka-uct,58730895240,1206909986682,1749220767813
akka-uct,53148816282,1266556738989,1749220767813
akka-uct,54694671584,1320701730165,1749220767813
akka-uct,58635352558,1376163575445,1749220767813
akka-uct,55762901665,1435429491885,1749220767813
akka-uct,56006382105,1492211158727,1749220767813
akka-uct,56094457744,1549124895251,1749220767813
akka-uct,57174542421,1606151142728,1749220767813
akka-uct,55426020630,1664242648510,1749220767813
akka-uct,58060976680,1720694568464,1749220767813
akka-uct,55922152259,1779301180335,1749220767813
akka-uct,60865236740,1836129082678,1749220767813
