benchmark,duration_ns,uptime_ns,vm_start_unix_ms
akka-uct,131009640750,7545029396,1748985161994
akka-uct,83909264672,140342371165,1748985161994
akka-uct,82104166611,226044471649,1748985161994
akka-uct,84694673537,310118062702,1748985161994
akka-uct,82934646850,396561980732,1748985161994
akka-uct,80277396185,481201701513,1748985161994
akka-uct,84994703119,563269238165,1748985161994
akka-uct,81892308826,650122487778,1748985161994
akka-uct,83228224771,733956496947,1748985161994
akka-uct,80039761458,818354156963,1748985161994
akka-uct,81487037617,900262388014,1748985161994
akka-uct,82325086405,983697451862,1748985161994
akka-uct,84251923328,1067201963686,1748985161994
akka-uct,80794938944,1153207919752,1748985161994
akka-uct,82529807499,1235749621858,1748985161994
akka-uct,82549440470,1319741199960,1748985161994
akka-uct,83598418685,1404009156728,1748985161994
akka-uct,78887384257,1489345483520,1748985161994
akka-uct,82318128095,1570046726486,1748985161994
akka-uct,82794579819,1654149901576,1748985161994
akka-uct,84218470576,1738685350476,1748985161994
akka-uct,82785747555,1824661948191,1748985161994
akka-uct,84240890258,1909284582222,1748985161994
akka-uct,81550860244,1995398842877,1748985161994
akka-uct,82821300328,2078831112957,1748985161994
akka-uct,82215370132,2163289408273,1748985161994
akka-uct,82377684289,2247277212735,1748985161994
akka-uct,81098221549,2331240534297,1748985161994
akka-uct,81519129172,2414147543416,1748985161994
akka-uct,82347429327,2497417998839,1748985161994
akka-uct,80037835352,2581617289483,1748985161994
akka-uct,80947152969,2663418411218,1748985161994
akka-uct,79905333247,2746136260690,1748985161994
akka-uct,81941265137,2827983241923,1748985161994
