benchmark,duration_ns,uptime_ns,vm_start_unix_ms
akka-uct,99894445116,7976823359,1749210670205
akka-uct,69598244692,108768484230,1749210670205
akka-uct,69069003486,179263256092,1749210670205
akka-uct,69747295780,249409608378,1749210670205
akka-uct,70205396973,319926313758,1749210670205
akka-uct,67481049451,391257424402,1749210670205
akka-uct,69266307098,459460166479,1749210670205
akka-uct,67700114254,529549809251,1749210670205
akka-uct,67129182512,598271138110,1749210670205
akka-uct,69054857500,666465254397,1749210670205
akka-uct,70421346609,736406454869,1749210670205
akka-uct,68113291827,807707946176,1749210670205
akka-uct,68591631497,876987209103,1749210670205
akka-uct,67981849007,946741426449,1749210670205
akka-uct,65434318924,1015542555737,1749210670205
akka-uct,68305624417,1081691345905,1749210670205
akka-uct,66365651094,1150916147453,1749210670205
akka-uct,68176502582,1218960557437,1749210670205
akka-uct,68222954091,1288303410057,1749210670205
akka-uct,68804885521,1357283980407,1749210670205
akka-uct,67922485298,1427032477431,1749210670205
akka-uct,68312949118,1495836800758,1749210670205
akka-uct,68823668348,1565012398201,1749210670205
akka-uct,69589728660,1635508249761,1749210670205
akka-uct,67492265162,1706040590029,1749210670205
akka-uct,70153630170,1774271561073,1749210670205
akka-uct,67568008836,1846035022989,1749210670205
akka-uct,64884106862,1915290625508,1749210670205
akka-uct,66735572405,1981656589470,1749210670205
akka-uct,68416414553,2049480687140,1749210670205
akka-uct,69964528597,2119049104334,1749210670205
akka-uct,68085574984,2190128607843,1749210670205
akka-uct,68632626409,2259137806239,1749210670205
akka-uct,71736733062,2328917948002,1749210670205
