benchmark,duration_ns,uptime_ns,vm_start_unix_ms
akka-uct,21055071140,1814536084,1749210668008
akka-uct,15742464070,23135363320,1749210668008
akka-uct,20317506274,39223313002,1749210668008
akka-uct,22440396589,59900482992,1749210668008
akka-uct,21706014859,82716350580,1749210668008
akka-uct,21927391256,104806189956,1749210668008
akka-uct,21966886058,127101587069,1749210668008
akka-uct,21976516986,149421579745,1749210668008
akka-uct,22307365897,171783845686,1749210668008
akka-uct,22203297619,194469687071,1749210668008
akka-uct,22923826197,217020291722,1749210668008
akka-uct,23070226272,240309335978,1749210668008
akka-uct,22548404431,263725312105,1749210668008
akka-uct,22546845421,286604277225,1749210668008
akka-uct,22183089457,309513597135,1749210668008
akka-uct,22696398836,332094604404,1749210668008
akka-uct,23343597209,355128742922,1749210668008
akka-uct,22731992753,378804266372,1749210668008
akka-uct,22765756171,401912348409,1749210668008
akka-uct,23020122251,425026149306,1749210668008
akka-uct,22551451275,448399584810,1749210668008
akka-uct,22134813857,471296027008,1749210668008
akka-uct,22861614979,493785076709,1749210668008
akka-uct,22751067683,517013102922,1749210668008
akka-uct,22543272204,540137349168,1749210668008
akka-uct,22652980382,563054897395,1749210668008
akka-uct,22821476698,586101004596,1749210668008
akka-uct,22708534381,609266656590,1749210668008
akka-uct,22918834918,632327235574,1749210668008
akka-uct,22296495085,655616073507,1749210668008
akka-uct,22675575311,678251508237,1749210668008
akka-uct,22241663552,701263932034,1749210668008
akka-uct,22902967467,723863482679,1749210668008
akka-uct,22650875526,747124399352,1749210668008
