benchmark,duration_ns,uptime_ns,vm_start_unix_ms
fj-kmeans,10048664349,3609316955,1749222698922
fj-kmeans,9680806226,13875009837,1749222698922
fj-kmeans,16334453627,23699506547,1749222698922
fj-kmeans,19282469759,40361138849,1749222698922
fj-kmeans,19290537983,59951198229,1749222698922
fj-kmeans,19426893765,79545411729,1749222698922
fj-kmeans,19262338411,99293616886,1749222698922
fj-kmeans,19628277039,118873053221,1749222698922
fj-kmeans,19536097671,138799180126,1749222698922
fj-kmeans,19210805217,158635310520,1749222698922
fj-kmeans,19660169917,178188044328,1749222698922
fj-kmeans,20626185856,198184249693,1749222698922
fj-kmeans,21671137228,219119579769,1749222698922
fj-kmeans,19605262793,241091815237,1749222698922
fj-kmeans,20954394023,260995961590,1749222698922
fj-kmeans,22885614519,282272290821,1749222698922
fj-kmeans,23669489241,305464675181,1749222698922
fj-kmeans,21464358073,329473039880,1749222698922
fj-kmeans,23775196986,351274682452,1749222698922
fj-kmeans,19961385917,375370057804,1749222698922
fj-kmeans,23804651930,395632628563,1749222698922
fj-kmeans,19314265736,419738586743,1749222698922
fj-kmeans,21393175344,439377952505,1749222698922
fj-kmeans,21466363586,461072565652,1749222698922
fj-kmeans,20616359661,482839454360,1749222698922
fj-kmeans,22095710819,503759098192,1749222698922
fj-kmeans,20439054143,526167212283,1749222698922
fj-kmeans,19914801683,546913034521,1749222698922
fj-kmeans,22711479509,567134671178,1749222698922
fj-kmeans,21592513754,590169269440,1749222698922
fj-kmeans,19763706080,612066192568,1749222698922
fj-kmeans,19911381773,632149179823,1749222698922
fj-kmeans,20059152889,652385656541,1749222698922
fj-kmeans,23273999852,672747086544,1749222698922
fj-kmeans,19439581803,696352432414,1749222698922
fj-kmeans,20389665992,716110852259,1749222698922
fj-kmeans,20074997996,736811565441,1749222698922
fj-kmeans,20561142251,757232578201,1749222698922
fj-kmeans,22125587142,778145522943,1749222698922
fj-kmeans,19334280631,800573876486,1749222698922
