benchmark,duration_ns,uptime_ns,vm_start_unix_ms
fj-kmeans,27242875209,8814156807,1748988109413
fj-kmeans,25247090223,36649633007,1748988109413
fj-kmeans,25104874785,62163339073,1748988109413
fj-kmeans,24803759581,87545691716,1748988109413
fj-kmeans,24948385327,112634255743,1748988109413
fj-kmeans,25273935014,137862014066,1748988109413
fj-kmeans,25101865079,163406147238,1748988109413
fj-kmeans,25009845806,188785657610,1748988109413
fj-kmeans,25025083015,214058736324,1748988109413
fj-kmeans,24918382274,239354328570,1748988109413
fj-kmeans,24769266493,264537120729,1748988109413
fj-kmeans,24965932305,289573161593,1748988109413
fj-kmeans,24941572810,314811768324,1748988109413
fj-kmeans,24866909787,340029236824,1748988109413
fj-kmeans,24652163369,365166212663,1748988109413
fj-kmeans,24775935000,390088795829,1748988109413
fj-kmeans,24775621608,415131672855,1748988109413
fj-kmeans,24987146776,440174279116,1748988109413
fj-kmeans,25009799533,465423988413,1748988109413
fj-kmeans,24761462679,490701984168,1748988109413
fj-kmeans,24733773283,515741553050,1748988109413
fj-kmeans,24744229498,540741626725,1748988109413
fj-kmeans,24792244783,565752473519,1748988109413
fj-kmeans,24838025219,590817553335,1748988109413
fj-kmeans,24707674331,615930014497,1748988109413
fj-kmeans,25073765338,640914365930,1748988109413
fj-kmeans,24796423636,666256493943,1748988109413
fj-kmeans,24787218772,691315141554,1748988109413
fj-kmeans,24811402455,716367889894,1748988109413
fj-kmeans,24740420742,741450457412,1748988109413
fj-kmeans,24988945832,766465037131,1748988109413
fj-kmeans,24639482103,791721710634,1748988109413
fj-kmeans,24652826659,816650618620,1748988109413
fj-kmeans,24696700047,841567062124,1748988109413
fj-kmeans,24954415841,866532395710,1748988109413
fj-kmeans,24871817640,891751821805,1748988109413
fj-kmeans,24765877168,916887642192,1748988109413
fj-kmeans,24961804303,941928883007,1748988109413
fj-kmeans,24825185039,967155426836,1748988109413
fj-kmeans,24929547697,992249999637,1748988109413
