benchmark,duration_ns,uptime_ns,vm_start_unix_ms
fj-kmeans,20739691220,8014963445,1749213108576
fj-kmeans,17611768953,29251260091,1749213108576
fj-kmeans,17347633994,47031273296,1749213108576
fj-kmeans,17187060655,64567360834,1749213108576
fj-kmeans,17240669468,81933834942,1749213108576
fj-kmeans,17543650115,99347982867,1749213108576
fj-kmeans,17346327407,117054172699,1749213108576
fj-kmeans,17319256828,134579516883,1749213108576
fj-kmeans,17288483881,152065303148,1749213108576
fj-kmeans,17124404880,169535218707,1749213108576
fj-kmeans,17228698522,186831027966,1749213108576
fj-kmeans,17196929382,204228450556,1749213108576
fj-kmeans,17237291204,221601752428,1749213108576
fj-kmeans,17176579720,239007843283,1749213108576
fj-kmeans,17221649959,256344577051,1749213108576
fj-kmeans,17220741809,273733639642,1749213108576
fj-kmeans,17232555612,291116382405,1749213108576
fj-kmeans,17183950966,308519753119,1749213108576
fj-kmeans,17308821002,325868525626,1749213108576
fj-kmeans,17128269831,343339332906,1749213108576
fj-kmeans,17179828595,360647246032,1749213108576
fj-kmeans,17162289591,377988094694,1749213108576
fj-kmeans,17237525184,395317466961,1749213108576
fj-kmeans,17181798060,412718075127,1749213108576
fj-kmeans,17216971665,430065817527,1749213108576
fj-kmeans,17239136721,447442909358,1749213108576
fj-kmeans,17310716926,464847894098,1749213108576
fj-kmeans,17285862778,482325173082,1749213108576
fj-kmeans,17049206269,499771821579,1749213108576
fj-kmeans,17352129097,516992005521,1749213108576
fj-kmeans,17233293619,534531428157,1749213108576
fj-kmeans,17203554137,551926858688,1749213108576
fj-kmeans,17092513000,569293428946,1749213108576
fj-kmeans,17132497618,586559164852,1749213108576
fj-kmeans,17074306030,603851768533,1749213108576
fj-kmeans,17205920445,621094787184,1749213108576
fj-kmeans,17319010847,638460847175,1749213108576
fj-kmeans,17234509647,655942663426,1749213108576
fj-kmeans,17174484418,673341176400,1749213108576
fj-kmeans,17255208377,690689005585,1749213108576
