benchmark,duration_ns,uptime_ns,vm_start_unix_ms
future-genetic,5328555772,2208828276,1749219640835
future-genetic,4039262645,7721375889,1749219640835
future-genetic,3676143005,11778031534,1749219640835
future-genetic,3721751381,15470730164,1749219640835
future-genetic,3818595382,19210786050,1749219640835
future-genetic,3762882912,23046634098,1749219640835
future-genetic,3706509503,26825064305,1749219640835
future-genetic,3721980129,30548616560,1749219640835
future-genetic,3728128687,34285659442,1749219640835
future-genetic,3686334749,38029586116,1749219640835
future-genetic,3699422159,41731406720,1749219640835
future-genetic,3706236882,45446513548,1749219640835
future-genetic,3717548673,49169441632,1749219640835
future-genetic,3720057960,52905156044,1749219640835
future-genetic,3703338485,56642916189,1749219640835
future-genetic,3732316867,60364025879,1749219640835
future-genetic,3723370674,64111858497,1749219640835
future-genetic,3718877562,67851317858,1749219640835
future-genetic,3735372266,71586688129,1749219640835
future-genetic,3690548248,75338359806,1749219640835
future-genetic,3692442623,79044550202,1749219640835
future-genetic,3692487762,82752289559,1749219640835
future-genetic,3702466629,86462927508,1749219640835
future-genetic,3694722856,90183289300,1749219640835
future-genetic,3691786293,93894694554,1749219640835
future-genetic,3708010460,97603170129,1749219640835
future-genetic,3688252116,101327334190,1749219640835
future-genetic,3695846363,105031363852,1749219640835
future-genetic,3711721878,108743967916,1749219640835
future-genetic,3723522285,112471647665,1749219640835
future-genetic,3702728116,116214372540,1749219640835
future-genetic,3729469602,119932944329,1749219640835
future-genetic,3737570839,123678758289,1749219640835
future-genetic,3723154931,127435182973,1749219640835
future-genetic,3733617551,131175061942,1749219640835
future-genetic,3719789774,134924202461,1749219640835
future-genetic,3738624688,138659995407,1749219640835
future-genetic,3740324918,142415925327,1749219640835
future-genetic,3735144189,146172870286,1749219640835
future-genetic,3757885310,149923348596,1749219640835
future-genetic,3723113943,153696794771,1749219640835
future-genetic,3747344144,157435873598,1749219640835
future-genetic,3764546717,161203787368,1749219640835
future-genetic,3730752800,164985293401,1749219640835
future-genetic,3740635162,168732389040,1749219640835
future-genetic,3728111206,172488865152,1749219640835
future-genetic,3760468797,176231708621,1749219640835
future-genetic,3726955232,180007950487,1749219640835
future-genetic,3731830702,183751330206,1749219640835
future-genetic,3740339528,187498862895,1749219640835
future-genetic,3735024734,191255613192,1749219640835
future-genetic,3718884901,195006964987,1749219640835
future-genetic,4866319699,198741833510,1749219640835
future-genetic,7951747792,203640667641,1749219640835
future-genetic,7921473028,211626159928,1749219640835
future-genetic,6946224935,219580277284,1749219640835
future-genetic,3722235096,226542897598,1749219640835
future-genetic,3714263172,230281962289,1749219640835
future-genetic,3721725487,234012142812,1749219640835
future-genetic,3749824133,237750070468,1749219640835
future-genetic,3729948243,241516250416,1749219640835
future-genetic,3786127979,245262898111,1749219640835
future-genetic,3747084563,249065022638,1749219640835
