benchmark,duration_ns,uptime_ns,vm_start_unix_ms
mnemonics,7730462923,2993657348,1749307012767
mnemonics,7212100678,11394566732,1749307012767
mnemonics,7306299209,19066564054,1749307012767
mnemonics,7251928292,26822290674,1749307012767
mnemonics,7217956986,34532990948,1749307012767
mnemonics,7269651383,42204826011,1749307012767
mnemonics,7246268436,49926339252,1749307012767
mnemonics,7206397495,57632322546,1749307012767
mnemonics,7229996890,65295096805,1749307012767
mnemonics,7172051757,72929343997,1749307012767
mnemonics,7178117518,80562752141,1749307012767
mnemonics,7189159756,88297611919,1749307012767
mnemonics,7231018567,95940842459,1749307012767
mnemonics,7205689813,103628296678,1749307012767
mnemonics,7233175316,111298535735,1749307012767
mnemonics,7223000099,118984012431,1749307012767
mnemonics,7233580118,126662817489,1749307012767
mnemonics,7261274708,134350292574,1749307012767
mnemonics,7178048459,141985789263,1749307012767
mnemonics,7255129566,149621588346,1749307012767
mnemonics,7174546056,157333753695,1749307012767
mnemonics,7165121549,165055268992,1749307012767
mnemonics,7203643574,172678644061,1749307012767
mnemonics,7204485372,180338521870,1749307012767
mnemonics,7265860811,187993413450,1749307012767
mnemonics,7221440018,195712122268,1749307012767
