benchmark,duration_ns,uptime_ns,vm_start_unix_ms
mnemonics,32875975514,4997230520,1748991934660
mnemonics,32750579213,40199232231,1748991934660
mnemonics,32071009750,74364757551,1748991934660
mnemonics,32435969997,107953966042,1748991934660
mnemonics,32506309802,141811362540,1748991934660
mnemonics,32455008662,175747058882,1748991934660
mnemonics,32305250950,209620255154,1748991934660
mnemonics,32422666807,243364555465,1748991934660
mnemonics,32472149492,277203246254,1748991934660
mnemonics,32897126876,311118773542,1748991934660
mnemonics,32819688167,345455259623,1748991934660
mnemonics,32848827385,379702179273,1748991934660
mnemonics,32833647465,413980362818,1748991934660
mnemonics,32842205214,448250208220,1748991934660
mnemonics,32826008535,482533063507,1748991934660
mnemonics,32840787802,516791511532,1748991934660
mnemonics,32864261642,551063184198,1748991934660
mnemonics,32879042554,585355772171,1748991934660
mnemonics,32862648918,619661707995,1748991934660
mnemonics,33261664980,653971000093,1748991934660
mnemonics,33072844353,688671166799,1748991934660
mnemonics,33286613258,723172311911,1748991934660
mnemonics,33045255974,757882095665,1748991934660
mnemonics,32909594184,792356637235,1748991934660
mnemonics,32843808328,826700695441,1748991934660
mnemonics,32796491133,860978232032,1748991934660
