benchmark,duration_ns,uptime_ns,vm_start_unix_ms
mnemonics,31478744098,4897923205,1749208607525
mnemonics,30276505545,38662798158,1749208607525
mnemonics,29831020707,70501088978,1749208607525
mnemonics,30097493749,101906299993,1749208607525
mnemonics,30085396733,133567642508,1749208607525
mnemonics,30000840453,165214095836,1749208607525
mnemonics,29729958413,196753860533,1749208607525
mnemonics,30526853343,228034706847,1749208607525
mnemonics,30021741463,260070321349,1749208607525
mnemonics,30044611180,291807266332,1749208607525
mnemonics,30045832950,323399551983,1749208607525
mnemonics,30217754581,354982783547,1749208607525
mnemonics,30008137197,386748406357,1749208607525
mnemonics,29975635970,418301372980,1749208607525
mnemonics,30053081373,449827087709,1749208607525
mnemonics,30262903421,481412514481,1749208607525
mnemonics,30190944860,513093445073,1749208607525
mnemonics,30039300651,544823738765,1749208607525
mnemonics,30051166283,576409530335,1749208607525
mnemonics,30067547524,607996279259,1749208607525
mnemonics,30082361281,639597645366,1749208607525
mnemonics,30029366519,671214845778,1749208607525
mnemonics,30022801245,702783157924,1749208607525
mnemonics,30040625860,734343720881,1749208607525
mnemonics,30112998327,765928145384,1749208607525
mnemonics,30044195469,797583612358,1749208607525
