benchmark,duration_ns,uptime_ns,vm_start_unix_ms
mnemonics,4478106177,1566374637,1749208605275
mnemonics,4255790017,6459134151,1749208605275
mnemonics,4187137883,10998658766,1749208605275
mnemonics,4200905124,15438472101,1749208605275
mnemonics,4187539470,19897708249,1749208605275
mnemonics,4142183518,24337668254,1749208605275
mnemonics,4163417846,28736579458,1749208605275
mnemonics,4174419626,33154747212,1749208605275
mnemonics,4193123958,37593569743,1749208605275
mnemonics,4150772443,42049611883,1749208605275
mnemonics,4159223934,46451436873,1749208605275
mnemonics,4190332744,50879640419,1749208605275
mnemonics,4156062013,55270883187,1749208605275
mnemonics,4192101050,59718789507,1749208605275
mnemonics,4160292869,64198669075,1749208605275
mnemonics,4192424205,68611750458,1749208605275
mnemonics,4191054496,73057169728,1749208605275
mnemonics,4172823064,77538685941,1749208605275
mnemonics,4235251639,81966569236,1749208605275
mnemonics,4166812489,86409241602,1749208605275
mnemonics,4208888559,90828920318,1749208605275
mnemonics,4198256398,95326377268,1749208605275
mnemonics,4226156613,99809345030,1749208605275
mnemonics,4214077891,104324363702,1749208605275
mnemonics,4914673521,108805434102,1749208605275
mnemonics,4878695274,113986133784,1749208605275
