benchmark,duration_ns,uptime_ns,vm_start_unix_ms
par-mnemonics,29015123062,4994696802,1748992863964
par-mnemonics,28399949260,36362590470,1748992863964
par-mnemonics,28387960738,66287213511,1748992863964
par-mnemonics,28182827738,96027560368,1748992863964
par-mnemonics,28175666875,125698983598,1748992863964
par-mnemonics,28643301248,155342485841,1748992863964
par-mnemonics,28185203662,185448970240,1748992863964
par-mnemonics,28240080362,215108761119,1748992863964
par-mnemonics,28075502470,244819311417,1748992863964
par-mnemonics,28180751260,274358144439,1748992863964
par-mnemonics,28230627710,303998547335,1748992863964
par-mnemonics,28258984159,333960282129,1748992863964
par-mnemonics,28353817166,363954970008,1748992863964
par-mnemonics,28139347477,394039415170,1748992863964
par-mnemonics,28274926475,423912404770,1748992863964
par-mnemonics,28329847413,453649337131,1748992863964
par-mnemonics,27946748686,483455680224,1748992863964
par-mnemonics,28633605233,513133854837,1748992863964
par-mnemonics,28359201816,543234951711,1748992863964
par-mnemonics,28231469946,572921560345,1748992863964
par-mnemonics,28283683567,602594296156,1748992863964
par-mnemonics,28117485586,632336322202,1748992863964
par-mnemonics,28202815747,661912496544,1748992863964
par-mnemonics,28153622678,691579279957,1748992863964
par-mnemonics,28106620356,721189990317,1748992863964
par-mnemonics,28243507754,751036213159,1748992863964
