benchmark,duration_ns,uptime_ns,vm_start_unix_ms
par-mnemonics,26162405684,4741009228,1749209470887
par-mnemonics,28864671440,33060375526,1749209470887
par-mnemonics,28359923510,63471483645,1749209470887
par-mnemonics,28431968806,93263049060,1749209470887
par-mnemonics,28317058758,123136922474,1749209470887
par-mnemonics,29110141693,152915752298,1749209470887
par-mnemonics,28555441854,183450452399,1749209470887
par-mnemonics,28208195598,213455912781,1749209470887
par-mnemonics,29140535332,243100205458,1749209470887
par-mnemonics,29205696920,273822947813,1749209470887
par-mnemonics,28142956101,304470432780,1749209470887
par-mnemonics,29063606984,334050889422,1749209470887
par-mnemonics,29052417919,364537599485,1749209470887
par-mnemonics,29197626090,395012595205,1749209470887
par-mnemonics,28349566425,425616752735,1749209470887
par-mnemonics,28520185339,455386359026,1749209470887
par-mnemonics,29202214825,485330514336,1749209470887
par-mnemonics,29178475768,515956590785,1749209470887
par-mnemonics,29144756815,546553536163,1749209470887
par-mnemonics,29186576131,577120237270,1749209470887
par-mnemonics,29135201586,607722874506,1749209470887
par-mnemonics,29440831048,638272704917,1749209470887
par-mnemonics,29081170409,669239457913,1749209470887
par-mnemonics,29101883171,699764577922,1749209470887
par-mnemonics,28272545845,730284283274,1749209470887
par-mnemonics,29102083797,759972358137,1749209470887
