benchmark,duration_ns,uptime_ns,vm_start_unix_ms
par-mnemonics,4181848839,1530928198,1749209468589
par-mnemonics,3893325450,6071542485,1749209468589
par-mnemonics,3814128109,10226393683,1749209468589
par-mnemonics,3786448585,14298129302,1749209468589
par-mnemonics,3897552560,18338734981,1749209468589
par-mnemonics,3871011788,22503799611,1749209468589
par-mnemonics,3744824483,26633397381,1749209468589
par-mnemonics,3785072017,30648026477,1749209468589
par-mnemonics,3797701052,34689946295,1749209468589
par-mnemonics,3890117093,38738629042,1749209468589
par-mnemonics,3889642322,42967000424,1749209468589
par-mnemonics,4010264404,47142209906,1749209468589
par-mnemonics,3814003249,51444677252,1749209468589
par-mnemonics,3781193613,55549530050,1749209468589
par-mnemonics,3831200901,59593036752,1749209468589
par-mnemonics,3910911287,63677899988,1749209468589
par-mnemonics,3829636508,67842045367,1749209468589
par-mnemonics,3736361954,71921415348,1749209468589
par-mnemonics,3817519293,75941988733,1749209468589
par-mnemonics,3849722188,80048025954,1749209468589
par-mnemonics,4061204873,84189064422,1749209468589
par-mnemonics,4115257196,88504358258,1749209468589
par-mnemonics,4624384477,92907424014,1749209468589
par-mnemonics,4654123790,97816304938,1749209468589
par-mnemonics,4693766917,102760226727,1749209468589
par-mnemonics,4596902868,107716538647,1749209468589
