benchmark,duration_ns,uptime_ns,vm_start_unix_ms
reactors,36150444417,3176032709,1749223551170
reactors,49854282307,39384194686,1749223551170
reactors,48016680366,89294326082,1749223551170
reactors,47634107358,137365635936,1749223551170
reactors,31472600519,185057611908,1749223551170
reactors,37750117238,216592247136,1749223551170
reactors,37854203185,254368030515,1749223551170
reactors,35400928551,292247820807,1749223551170
reactors,41152911407,327683977262,1749223551170
reactors,40937570072,368894594501,1749223551170
reactors,38644559686,409865360928,1749223551170
reactors,36711061764,448567859492,1749223551170
reactors,38065726285,485341097831,1749223551170
reactors,37508755392,523434312363,1749223551170
reactors,37151029629,560970570010,1749223551170
reactors,40097367591,598148444403,1749223551170
reactors,33669673753,638301702039,1749223551170
reactors,34736938914,672036906252,1749223551170
reactors,44275048677,706826713087,1749223551170
reactors,32966382200,751129544589,1749223551170
