benchmark,duration_ns,uptime_ns,vm_start_unix_ms
reactors,96571832998,8241511511,1748989160742
reactors,81507376177,104939501818,1748989160742
reactors,80271849542,186554287732,1748989160742
reactors,79171556955,266911699903,1748989160742
reactors,80249238648,346175094393,1748989160742
reactors,80830951336,426522478274,1748989160742
reactors,80509733055,507440861344,1748989160742
reactors,82148145552,588059196834,1748989160742
reactors,79744217031,670298042682,1748989160742
reactors,82427267511,750134794464,1748989160742
reactors,79175151845,832649737028,1748989160742
reactors,78939682062,911924732386,1748989160742
reactors,81122755280,990957043803,1748989160742
reactors,79638355817,1072173987324,1748989160742
reactors,80993746562,1151912238351,1748989160742
reactors,81549250312,1233006623612,1748989160742
reactors,81114450006,1314672494057,1748989160742
reactors,79406770430,1395873299485,1748989160742
reactors,81814257873,1475380616013,1748989160742
reactors,81159162345,1557290052074,1748989160742
