benchmark,duration_ns,uptime_ns,vm_start_unix_ms
reactors,93775557044,7538021678,1749213850967
reactors,90162155322,101407981810,1749213850967
reactors,83447000787,191656201699,1749213850967
reactors,84118143960,275202811624,1749213850967
reactors,85232714108,359419747626,1749213850967
reactors,87219458681,444752113582,1749213850967
reactors,88181531126,532066466028,1749213850967
reactors,85305076962,620333794449,1749213850967
reactors,85942111397,705743950773,1749213850967
reactors,94746332187,791778659880,1749213850967
reactors,87656235463,886632573001,1749213850967
reactors,87730023690,974381495832,1749213850967
reactors,87261303939,1062204950227,1749213850967
reactors,84157996687,1149560154254,1749213850967
reactors,87649862062,1233810169841,1749213850967
reactors,85588601085,1321557290017,1749213850967
reactors,83678135259,1407235675373,1749213850967
reactors,85053399976,1491018201594,1749213850967
reactors,88494287240,1576160327873,1749213850967
reactors,86307287833,1664759495794,1749213850967
