benchmark,duration_ns,uptime_ns,vm_start_unix_ms
reactors,17934663313,1915124499,1749213848574
reactors,14722449118,19869416938,1749213848574
reactors,15096201917,34609126487,1749213848574
reactors,15780295181,49720315327,1749213848574
reactors,19053386576,65517825009,1749213848574
reactors,18131684852,84585630898,1749213848574
reactors,18779749351,102740457235,1749213848574
reactors,17860302596,121535871448,1749213848574
reactors,18847969207,139414018140,1749213848574
reactors,18887389634,158277530849,1749213848574
reactors,19008128590,177180063702,1749213848574
reactors,18058542474,196203387954,1749213848574
reactors,19069416408,214280517143,1749213848574
reactors,18153208976,233364810542,1749213848574
reactors,18714808763,251535302530,1749213848574
reactors,17848733431,270265304197,1749213848574
reactors,18337237846,288130724581,1749213848574
reactors,18073778441,306483351663,1749213848574
reactors,18955948529,324581626166,1749213848574
reactors,19054495482,343553625491,1749213848574
