benchmark,duration_ns,uptime_ns,vm_start_unix_ms
rx-scrabble,1576453414,4263789938,1749220528372
rx-scrabble,491810288,6010063224,1749220528372
rx-scrabble,326694299,6623449092,1749220528372
rx-scrabble,339006791,7087457715,1749220528372
rx-scrabble,241595992,7511358138,1749220528372
rx-scrabble,337185771,7835140462,1749220528372
rx-scrabble,253050465,8265853064,1749220528372
rx-scrabble,293486420,8602794530,1749220528372
rx-scrabble,238618381,8972880439,1749220528372
rx-scrabble,226083090,9288031123,1749220528372
rx-scrabble,228824534,9591883293,1749220528372
rx-scrabble,277529201,9898395278,1749220528372
rx-scrabble,229142464,10253517638,1749220528372
rx-scrabble,228564318,10560202142,1749220528372
rx-scrabble,225365594,10864892934,1749220528372
rx-scrabble,279848020,11168597151,1749220528372
rx-scrabble,237035507,11524613687,1749220528372
rx-scrabble,225726786,11839858620,1749220528372
rx-scrabble,228647166,12142618966,1749220528372
rx-scrabble,279669049,12449280960,1749220528372
rx-scrabble,235340506,12805018210,1749220528372
rx-scrabble,224118683,13117102856,1749220528372
rx-scrabble,231089441,13418837953,1749220528372
rx-scrabble,278990964,13727855470,1749220528372
rx-scrabble,228937787,14082128928,1749220528372
rx-scrabble,224332848,14387600360,1749220528372
rx-scrabble,224771784,14697365404,1749220528372
rx-scrabble,278049213,14999549643,1749220528372
rx-scrabble,229509697,15352478819,1749220528372
rx-scrabble,231486796,15664420293,1749220528372
rx-scrabble,228021159,15972402313,1749220528372
rx-scrabble,276825005,16276429921,1749220528372
rx-scrabble,249135013,16628983613,1749220528372
rx-scrabble,224531673,16955473585,1749220528372
rx-scrabble,223418769,17256866434,1749220528372
rx-scrabble,282582590,17557339948,1749220528372
rx-scrabble,228826542,17915964292,1749220528372
rx-scrabble,227352273,18220694354,1749220528372
rx-scrabble,232211101,18524033060,1749220528372
rx-scrabble,276683935,18832446069,1749220528372
rx-scrabble,229304270,19184655311,1749220528372
rx-scrabble,227981770,19490878949,1749220528372
rx-scrabble,228892818,19796024350,1749220528372
rx-scrabble,276096170,20102747730,1749220528372
rx-scrabble,233327282,20456358155,1749220528372
rx-scrabble,223195407,20765796114,1749220528372
rx-scrabble,228566122,21068342910,1749220528372
rx-scrabble,277198567,21374420920,1749220528372
rx-scrabble,229362539,21728386925,1749220528372
rx-scrabble,227373012,22035517066,1749220528372
rx-scrabble,224915076,22340135734,1749220528372
rx-scrabble,281472256,22642004084,1749220528372
rx-scrabble,230160549,22999058698,1749220528372
rx-scrabble,224724636,23306280281,1749220528372
rx-scrabble,230495115,23607826665,1749220528372
rx-scrabble,280683827,23916073620,1749220528372
rx-scrabble,229063466,24272762744,1749220528372
rx-scrabble,231625577,24578845546,1749220528372
rx-scrabble,225260464,24886771720,1749220528372
rx-scrabble,279029286,25189214775,1749220528372
rx-scrabble,290179105,25544408478,1749220528372
rx-scrabble,229722419,25912018524,1749220528372
rx-scrabble,228048876,26219166518,1749220528372
rx-scrabble,283623275,26524017478,1749220528372
rx-scrabble,229421082,26887368480,1749220528372
rx-scrabble,224409410,27193173713,1749220528372
rx-scrabble,228978861,27495037792,1749220528372
rx-scrabble,279665866,27804381546,1749220528372
rx-scrabble,231811130,28159445633,1749220528372
rx-scrabble,233856934,28469034379,1749220528372
rx-scrabble,224705994,28779827111,1749220528372
rx-scrabble,280239853,29082699621,1749220528372
rx-scrabble,231838949,29439941094,1749220528372
rx-scrabble,224319860,29748091470,1749220528372
rx-scrabble,224709611,30049288341,1749220528372
rx-scrabble,282744464,30354059780,1749220528372
rx-scrabble,229125746,30720294849,1749220528372
rx-scrabble,237052832,31026236575,1749220528372
rx-scrabble,224868229,31341527413,1749220528372
rx-scrabble,289307915,31645822639,1749220528372
rx-scrabble,229849302,32012182511,1749220528372
rx-scrabble,235508248,32318440819,1749220528372
rx-scrabble,231668004,32631962825,1749220528372
rx-scrabble,279404250,32945289262,1749220528372
rx-scrabble,229712202,33301058988,1749220528372
rx-scrabble,239374879,33607628037,1749220528372
rx-scrabble,225195361,33924759874,1749220528372
rx-scrabble,279509811,34229246288,1749220528372
rx-scrabble,236079951,34584086590,1749220528372
rx-scrabble,223657838,34897119177,1749220528372
rx-scrabble,227222911,35196300051,1749220528372
rx-scrabble,285851833,35499571924,1749220528372
rx-scrabble,229828142,35862277035,1749220528372
rx-scrabble,236279536,36168849641,1749220528372
rx-scrabble,229477859,36482032647,1749220528372
rx-scrabble,276064712,36788715762,1749220528372
rx-scrabble,245983564,37144869281,1749220528372
rx-scrabble,244625971,37469135950,1749220528372
rx-scrabble,223041699,37790396277,1749220528372
rx-scrabble,278668039,38089707584,1749220528372
rx-scrabble,235817229,38443528851,1749220528372
