benchmark,duration_ns,uptime_ns,vm_start_unix_ms
rx-scrabble,859825777,2765957508,1749210293454
rx-scrabble,432686975,3741152027,1749210293454
rx-scrabble,302190507,4271547217,1749210293454
rx-scrabble,154933780,4639270195,1749210293454
rx-scrabble,137934819,4853234542,1749210293454
rx-scrabble,184294137,5049631518,1749210293454
rx-scrabble,183856862,5294409477,1749210293454
rx-scrabble,161044502,5539017049,1749210293454
rx-scrabble,143599667,5750779519,1749210293454
rx-scrabble,139068215,5945444722,1749210293454
rx-scrabble,165987601,6137319742,1749210293454
rx-scrabble,148225182,6354024963,1749210293454
rx-scrabble,145260491,6559224632,1749210293454
rx-scrabble,135319207,6755259809,1749210293454
rx-scrabble,167609178,6940355997,1749210293454
rx-scrabble,138549816,7156275125,1749210293454
rx-scrabble,135070696,7347684985,1749210293454
rx-scrabble,148441362,7533895976,1749210293454
rx-scrabble,165466407,7731929605,1749210293454
rx-scrabble,137717766,7945962838,1749210293454
rx-scrabble,138181884,8133723882,1749210293454
rx-scrabble,137845846,8321684070,1749210293454
rx-scrabble,174143897,8509624099,1749210293454
rx-scrabble,141209921,8732278431,1749210293454
rx-scrabble,137387106,8922033927,1749210293454
rx-scrabble,136694617,9109866503,1749210293454
rx-scrabble,166323926,9295185870,1749210293454
rx-scrabble,145681896,9510775132,1749210293454
rx-scrabble,134950570,9705257951,1749210293454
rx-scrabble,136690204,9889838320,1749210293454
rx-scrabble,171446334,10079474217,1749210293454
rx-scrabble,144412375,10301585002,1749210293454
rx-scrabble,145295515,10494650443,1749210293454
rx-scrabble,134366535,10688864572,1749210293454
rx-scrabble,170157107,10872608522,1749210293454
rx-scrabble,138490535,11091318382,1749210293454
rx-scrabble,135755498,11281339206,1749210293454
rx-scrabble,140142273,11468292724,1749210293454
rx-scrabble,165610673,11657695366,1749210293454
rx-scrabble,137822243,11874462342,1749210293454
rx-scrabble,134174672,12062592956,1749210293454
rx-scrabble,136602657,12246563150,1749210293454
rx-scrabble,169913834,12431797134,1749210293454
rx-scrabble,135998609,12650432341,1749210293454
rx-scrabble,138718412,12835227331,1749210293454
rx-scrabble,137545029,13023380201,1749210293454
rx-scrabble,184125619,13209521948,1749210293454
rx-scrabble,144567245,13445344652,1749210293454
rx-scrabble,154050195,13639993326,1749210293454
rx-scrabble,144109368,13845659870,1749210293454
rx-scrabble,165772140,14039385605,1749210293454
rx-scrabble,142258947,14252837323,1749210293454
rx-scrabble,142187388,14444815364,1749210293454
rx-scrabble,136219935,14636057200,1749210293454
rx-scrabble,164632462,14822075089,1749210293454
rx-scrabble,144836855,15035069482,1749210293454
rx-scrabble,136515483,15230524498,1749210293454
rx-scrabble,135249959,15415460987,1749210293454
rx-scrabble,167817713,15605682895,1749210293454
rx-scrabble,137586116,15821881976,1749210293454
rx-scrabble,135877407,16008234998,1749210293454
rx-scrabble,136194958,16193351808,1749210293454
rx-scrabble,173020600,16378716674,1749210293454
rx-scrabble,139113690,16604445788,1749210293454
rx-scrabble,134548551,16792466318,1749210293454
rx-scrabble,134919155,16979570980,1749210293454
rx-scrabble,167202137,17165281554,1749210293454
rx-scrabble,140038758,17384517460,1749210293454
rx-scrabble,134724346,17578592698,1749210293454
rx-scrabble,137306595,17762735678,1749210293454
rx-scrabble,164903365,17950248995,1749210293454
rx-scrabble,140107556,18163243730,1749210293454
rx-scrabble,138757121,18352454026,1749210293454
rx-scrabble,143994306,18541531552,1749210293454
rx-scrabble,169095350,18735033780,1749210293454
rx-scrabble,136867476,18954356961,1749210293454
rx-scrabble,139323005,19143766022,1749210293454
rx-scrabble,136309675,19334292482,1749210293454
rx-scrabble,172985684,19520385770,1749210293454
rx-scrabble,138918746,19742169359,1749210293454
rx-scrabble,135651253,19932043289,1749210293454
rx-scrabble,137151323,20116803845,1749210293454
rx-scrabble,169183795,20303952596,1749210293454
rx-scrabble,141987699,20522715041,1749210293454
rx-scrabble,137124824,20714074619,1749210293454
rx-scrabble,136932028,20900890404,1749210293454
rx-scrabble,165334618,21089535305,1749210293454
rx-scrabble,138033083,21303524050,1749210293454
rx-scrabble,140055227,21490961089,1749210293454
rx-scrabble,135084994,21681596251,1749210293454
rx-scrabble,167683564,21866348878,1749210293454
rx-scrabble,185230534,22083001315,1749210293454
rx-scrabble,136175020,22319771651,1749210293454
rx-scrabble,148919146,22504859211,1749210293454
rx-scrabble,169687942,22704561561,1749210293454
rx-scrabble,137737369,22922239693,1749210293454
rx-scrabble,137712642,23109348737,1749210293454
rx-scrabble,138290893,23295756296,1749210293454
rx-scrabble,167830727,23482775829,1749210293454
rx-scrabble,137468834,23699195640,1749210293454
rx-scrabble,136479707,23885808622,1749210293454
