benchmark,duration_ns,uptime_ns,vm_start_unix_ms
scrabble,7085656054,11903197789,1749210449427
scrabble,2759779198,19246301924,1749210449427
scrabble,2587443069,22209215640,1749210449427
scrabble,2520328413,24988057932,1749210449427
scrabble,2678883268,27761598603,1749210449427
scrabble,2534803025,30632024902,1749210449427
scrabble,2435898065,33359198175,1749210449427
scrabble,2559096255,35988230128,1749210449427
scrabble,2522062170,38770845716,1749210449427
scrabble,2519139207,41485285186,1749210449427
scrabble,2541123890,44206787581,1749210449427
scrabble,2598718041,46940345423,1749210449427
scrabble,2503300080,49744737050,1749210449427
scrabble,2613222511,52437671630,1749210449427
scrabble,2596712542,55249577434,1749210449427
scrabble,2455618172,58034768240,1749210449427
scrabble,2411042435,60701020164,1749210449427
scrabble,2594634608,63322377889,1749210449427
scrabble,2513853271,66110651798,1749210449427
scrabble,2413474998,68834616145,1749210449427
scrabble,2544066898,71438925989,1749210449427
scrabble,2480359903,74186959055,1749210449427
scrabble,2427730609,76861661321,1749210449427
scrabble,2590320268,79494335506,1749210449427
scrabble,2523708033,82273111381,1749210449427
scrabble,2485248988,84990524672,1749210449427
scrabble,2360584894,87675298508,1749210449427
scrabble,2551005971,90227487057,1749210449427
scrabble,2576914969,92975167590,1749210449427
scrabble,2513248614,95756298802,1749210449427
scrabble,2541423682,98468485310,1749210449427
scrabble,2375885085,101200438495,1749210449427
scrabble,2449011434,103791276072,1749210449427
scrabble,2537569771,106438960116,1749210449427
scrabble,2496230601,109172756879,1749210449427
scrabble,2558841373,111879409628,1749210449427
scrabble,2453564107,114631150958,1749210449427
scrabble,2409531495,117282852052,1749210449427
scrabble,2560065412,119901015574,1749210449427
scrabble,2498491228,122666803689,1749210449427
scrabble,2502726557,125357453915,1749210449427
scrabble,2398710070,128045935393,1749210449427
scrabble,2343942952,130641127124,1749210449427
scrabble,2525075423,133180872279,1749210449427
scrabble,2324096715,135891303708,1749210449427
scrabble,2454324437,138409324424,1749210449427
scrabble,2512062907,141060218833,1749210449427
scrabble,2439908068,143773817133,1749210449427
scrabble,2485106075,146404885590,1749210449427
scrabble,2640978802,149087445071,1749210449427
scrabble,2508346619,151921097619,1749210449427
scrabble,2408326199,154621334937,1749210449427
scrabble,2490649258,157223435822,1749210449427
scrabble,2454044223,159926412903,1749210449427
scrabble,2556144708,162577050132,1749210449427
scrabble,2650790037,165322557400,1749210449427
scrabble,2408460447,168158679023,1749210449427
scrabble,2399466350,170772702708,1749210449427
scrabble,2493715310,173382730381,1749210449427
scrabble,2535800099,176065454939,1749210449427
scrabble,2532812526,178804491400,1749210449427
scrabble,2436612848,181528728877,1749210449427
scrabble,2346765287,184162777708,1749210449427
