benchmark,duration_ns,uptime_ns,vm_start_unix_ms
scrabble,1608825532,3101226166,1749210447123
scrabble,793336965,4808456990,1749210447123
scrabble,711871132,5688933832,1749210447123
scrabble,794559915,6486837190,1749210447123
scrabble,726340351,7368312246,1749210447123
scrabble,810564032,8179646404,1749210447123
scrabble,674333571,9077084876,1749210447123
scrabble,719169358,9838299650,1749210447123
scrabble,802406091,10644939708,1749210447123
scrabble,722238479,11535093187,1749210447123
scrabble,770953147,12343965346,1749210447123
scrabble,724745031,13201308413,1749210447123
scrabble,777085328,14014328330,1749210447123
scrabble,732265474,14878144355,1749210447123
scrabble,799366794,15700248034,1749210447123
scrabble,702242498,16587510403,1749210447123
scrabble,790463217,17375994537,1749210447123
scrabble,712226992,18261444221,1749210447123
scrabble,779825355,19063814776,1749210447123
scrabble,702882537,19937493476,1749210447123
scrabble,785181225,20728329118,1749210447123
scrabble,679813169,21600227727,1749210447123
scrabble,744928667,22366731534,1749210447123
scrabble,778828354,23197523273,1749210447123
scrabble,649867163,24062609933,1749210447123
scrabble,716449755,24798926535,1749210447123
scrabble,796489056,25602493223,1749210447123
scrabble,785994588,26485291772,1749210447123
scrabble,709238034,27361581557,1749210447123
scrabble,787619221,28157559071,1749210447123
scrabble,710549857,29034141182,1749210447123
scrabble,785239191,29832222276,1749210447123
scrabble,717131300,30705152471,1749210447123
scrabble,784008152,31509050347,1749210447123
scrabble,678032819,32380217727,1749210447123
scrabble,707299649,33146596468,1749210447123
scrabble,789271644,33947939098,1749210447123
scrabble,777232844,34823986584,1749210447123
scrabble,706590702,35690557581,1749210447123
scrabble,781050664,36483780574,1749210447123
scrabble,711293112,37351654280,1749210447123
scrabble,808600054,38148889743,1749210447123
scrabble,663311177,39043576438,1749210447123
scrabble,706090563,39792451865,1749210447123
scrabble,807111558,40584826686,1749210447123
scrabble,772123742,41478988712,1749210447123
scrabble,723157524,42339734130,1749210447123
scrabble,1002093241,43165969859,1749210447123
scrabble,1007200208,44272801426,1749210447123
scrabble,1152048698,45394068998,1749210447123
scrabble,978028620,46662275728,1749210447123
scrabble,1023060917,47759032516,1749210447123
scrabble,1108381241,48905562985,1749210447123
scrabble,1051201190,50135569829,1749210447123
scrabble,1117114121,51301963946,1749210447123
scrabble,1038360083,52539960496,1749210447123
scrabble,1122472201,53693887808,1749210447123
scrabble,1031924074,54943498146,1749210447123
scrabble,1200114788,56091178894,1749210447123
scrabble,1052621670,57412849566,1749210447123
scrabble,1121032784,58580834579,1749210447123
scrabble,1042373454,59817053405,1749210447123
scrabble,1152816997,60989082025,1749210447123
